county_fips,county_name,mean_resid_log,mean_observed,mean_predicted,n_months,pop_21plus,z_score,flag
19047,CRAWFORD,-0.1593891789412526,0.7418816105884183,0.8498101945839296,48,11490.125,-0.0067743819378583816,
19183,WASHINGTON,-0.15751683811680353,0.6939483323738421,0.8055807750439034,48,16321.125,-0.002397803756851759,
19057,DES MOINES,-0.1528732344091804,0.7257276349536905,0.8377756985782511,48,28802.625,0.008456574037321946,
19181,WARREN,-0.1490191992001182,0.5170223543432683,0.5968261806101259,48,38245.5,0.017465343265956508,
19063,EMMET,-0.1219522412012442,0.5961005283986615,0.6632528296393174,48,6898.25,0.08073409020413831,
19169,STORY,-0.11875761285644075,0.8195998532417471,0.9137682398768435,48,67483.875,0.0882015024015977,
19103,JOHNSON,-0.11577304371368762,0.969739508306907,1.0841175748215617,48,110830.625,0.09517790328935943,
19189,WINNEBAGO,-0.11397865177467449,0.6302126972105226,0.6988872974010234,48,7905.625,0.09937227672068695,
19073,GREENE,-0.11188879991597812,0.5480632614542594,0.6012650265896804,48,6560.875,0.10425728479553784,
19039,CLARKE,-0.10786946948286041,0.7492775342160032,0.8203436745026287,48,6803.75,0.11365242997751344,
19007,APPANOOSE,-0.08026072045484435,0.5886544487483198,0.6247505879363171,48,9189.5,0.1781876080941673,
19193,WOODBURY,-0.07360188140893827,0.8858844277475703,0.9521699791425418,48,73604.5,0.1937525785838338,
19149,PLYMOUTH,-0.0671374670205443,0.5753068235397362,0.6077221207492637,48,18484.875,0.208863083357213,
19077,GUTHRIE,-0.06279428956136206,0.41602528782474263,0.4369279452860051,48,8080.25,0.21901521776345279,
19175,UNION,-0.05490347990034077,0.7814238439726489,0.8142652632709302,48,8765.0,0.2374599073957818,
19065,FAYETTE,-0.049377378424220277,0.5871789255325032,0.6126221801535365,48,14449.5,0.2503771150059582,
19055,DELAWARE,-0.0473878833645723,0.5669229926857726,0.5873214857705775,48,12814.25,0.25502754005442013,
19141,O'BRIEN,-0.04695504251872059,0.8285025477994719,0.861985907605059,48,10314.625,0.2560393012557284,
19157,POWESHIEK,-0.04576291632045349,0.7223057230444957,0.7501735463781304,48,13402.25,0.25882588446761634,
19133,MONONA,-0.04082269085699985,0.5537168726949441,0.57141216913834,48,6463.875,0.2703736126858303,
19035,CHEROKEE,-0.0270066342814278,0.566114074886311,0.5739337780605407,48,8732.375,0.3026685084476605,
